Pattern_Type,App_ID,App_Bucket,Use_Bucket,Priority
Equal,ATANASUITE,Atanasuite,Analytic,1000
Like,WIREPORTSERVER%,BOBJ,Analytic,1010
Like,BUSOBJ%,BOBJ,Analytic,1011
Like,WEBIRICHCLIENT%,BOBJ,Analytic,1012
Equal,BTEQ,BTEQ,ETL,1020
Equal,HTTPD,HTTPD,Application,1030
Equal,JMP,JMP,Application,1040
Equal,DTSRUN,MS SSIS,ETL,1050
Equal,PHP,PHP,Application,1070
Equal,RSESSION,R,Analytic,1080
Equal,SAS,SAS,Analytic,1090
Equal,Queryman,SQLAssistant,Analytic,1100
Equal,SQLA,SQLAssistant,Analytic,1110
Like,BRIO%,BRIO Query,Analytic,1111
Equal,ARCMain,TTU,Backup,1120
Equal,DSMain,TTU,Backup,1130
Equal,MULTILOAD,TTU,ETL,1140
Equal,TPTSTRM,TTU,Stream,1170
Equal,TPUMPEXE,TTU,Stream,1190
Equal,TERADATAKERNEL,Jupyter,Analytic,1234
Equal,OUTLOOK,MS Office,Application,1500
Like,AGINITY.NETEZZAWORKBENCH%,Netezza,Analytic,10000
Like,SPOTFIRE%,Spotfire,Application,10010
Like,ADEPTRA_SELFSERVREPORT%,Adeptra,Analytic,10100
Like,BIBUSTKSERVERMAIN%,Cognos,Analytic,10200
Like,M_DB.TER.GCC4P64%,Ab Initio,ETL,10300
Like,LOADIPSHARETABLE%,Unknown,Unknown,10400
Like,AGINIT~1:NET:SS%,Netezza,Analytic,10500
Like,ISSERVEREXEC%,MS SSIS,ETL,10600
Like,ISSERVEREXEC%,SSIS,ETL,10700
Like,NODEDBQUERY%,LavaStorm,Analytic,10800
Like,QVCONNECT32%,QlikView,Analytic,10900
Like,QVCONNECT64%,QlikView,Analytic,11000
Like,AL_DESIGNER%,SAP BODS,Analytic,11100
Like,TABPROTO%,Tableau,Analytic,11200
Like,NODEDBEXEC%,LavaStorm,Analytic,11300
Like,DTS%,MS SSIS,ETL,11400
Like,DTE%,MS SSIS,ETL,11401
Like,AL_ENGINE%,SAP BODS,Analytic,11500
Like,TBUILDEXE%,TTU,ETL,11501
Like,ISSERVICE%,Teradata,ETL,11600
Like,TDLOADEXE%,TTU,ETL,11601
Like,M8MULPRC%,Microstrategy,Analytic,11700
Like,QUERYMAN%,SQLAssistant,Analytic,11800
Like,TPTUPD%,TTU,ETL,11801
Like,SQLA:NET%,SQLAssistant,Analytic,11900
Like,EXECUTOR%,TTU,ETL,12000
Like,FASTLOAD%,TTU,ETL,12100
Like,MULTLOAD%,TTU,ETL,12200
Like,RUNDLL32%,Unknown,Unknown,12300
Like,ALTERYX%,Alteryx,Analytic,12400
Like,TRANSDA%,Cognos,Analytic,12500
Like,MSQRY32%,MS Office,Analytic,12600
Like,TDWMDIP%,Teradata,Internal,12700
Like,FASTEXP%,TTU,Export,12800
Like,OLELOAD%,TTU,ETL,12900
Like,TPTLOAD%,TTU,ETL,13000
Like,DTEXEC%,MS SSIS,ETL,13200
Like,SQLSERVR%,MS SQL Server,ETL,13211
Like,MSMDSRV%,MS SSAS,Analytic,13212
Like,SSMS%,MS SQL Server,ETL,13213
Like,DEVENV%,MS VisualStudio,Application,13300
Like,IISEX%,MS VisualStudio,Application,13301
Like,NVTERA%,NetVault,Backup,13400
Like,ODBC%,ODBC,Analytic,13401
Like,ESSSVR%,Oracle Hyperion Essbase,Application,13402
Like,OLAPISVR%,Oracle Hyperion Essbase,Application,13403
Like,TPTEXP%,TTU,Export,13500
Like,VECOMP%,TTU,ETL,13600
Like,WINDDI%,TTU,ETL,13700
Like,%INFORMATICA%,Informatica,ETL,13800
Like,PMDTM,Informatica,ETL,13900
Like,PMDESIGN,Informatica,ETL,14000
Like,PMDTMSVC%,Informatica,ETL,14010
Like,MICROSOFT.MASH%,MS PowerBI,Analytic,14021
Like,BIBUS%,Cognos,Analytic,14100
Like,COGTR%,Cognos,Analytic,14200
Like,TM1SD%,Cognos,Analytic,14300
Like,CRW32%,Crystal Reports,Analytic,14400
Like,DBVIS%,DbVisualizer,Analytic,14500
Like,UWSGI%,Teradata,Unknown,14600
Like,TIWIZ%,TTU,ETL,14700
Like,UNICA%,Unica,Application,14800
Like,JDBC%,JDBC,Application,14900
Like,JAVA%,JDBC,Application,14901
Like,%/JMP,JMP,Application,15000
Like,%PERL%,Perl,Application,15001
Like,MSACCESS%,MS Office,Analytic,15002
Like,EXCEL%,MS Office,Analytic,15003
Like,POWERPNT%,MS Office,Analytic,15004
Like,QUERYCHAMELEON%,Nexus,Analytic,15005
Like,TOAD%,Toad,Analytic,15010
Like,W3WP%,MS IIS,Application,15100
Like,DOTNET%,MS .Net Driver,Application,15110
Like,%ANACONDA%,Python,Analytic,15200
Like,%SASFound%,SAS,Analytic,15300
Like,QUICKFLOW%,SFDC,Application,15301
Like,TSET%,TTU,Support,15400
Like,%POWERBI%,PowerBI,Analytic,15500
Like,%TABLEAU%,Tableau,Analytic,15600
Like,BMT%,Cognos,Analytic,15700
Like,%PYT,Python,Analytic,15800
Like,%PYTHON%,Python,Analytic,15900
Like,DUL%,Teradata,Analytic,16000
Like,RAYTHEON%,Raytheon Inspect Analytics,Analytic,16100
Equal,1,Unknown,Analytic,20000
Equal,(DELETED) ,Unknown,Analytic,20001
Equal,?,Unknown,Analytic,20002
Equal,ACLDA64 ,ACL for Win (Highbond),Analytic,20003
Like,AQTV% ,Advanced Query Tool,Analytic,20004
Equal,CAS ,Unknown,Analytic,20005
Equal,CMO_PANEL:NET:SS:16.20.09.000 ,Unknown,Analytic,20006
Equal,COLLECTION,TD PDCR Procerss,Analytic,20007
Equal,COMPSRV ,SAS,Analytic,20008
Equal,CSPPEEK ,Crashdumps,System,20009
Equal,D_UGAP_DATA.PY,Python,Analytic,20010
Equal,DBEAVER ,Universal DB Tool,Analytic,20011
Equal,DSAPI_SLAVE ,DataStage,ETL,20012
Equal,HPMQUERYSERVICEQUEUE:NET:SS:13,Unknown,Analytic,20013
Equal,IMPADMIN,Impromptu,Analytic,20014
Equal,INFORMATIONDESIGNTOOL ,Business Objects,Analytic,20015
Equal,IR_ACO_DATALOADER%,Demand Tools - CRM,Analytic,20016
Like,KERNEL%,Azure Data Studio,Analytic,20017
Like,MSREPORTBUILDER%,SQL Server Reporting Services,Analytic,20018
Like,MULTITHREADSGENQUEUE%,Python,Analytic,20019
Equal,MYSQLD,MySQL,Analytic,20020
Equal,ORCHDBUTIL,DataStage,ETL,20021
Equal,PHANTOM ,CRM,Analytic,20022
Equal,PMDTM ,Informatica,Analytic,20023
Like,PREVIEWPROCESSINGSERVICE%,SQL Server Reporting Services,Analytic,20024
Equal,R ,R Studio,Analytic,20025
Like,REPORTINGSERVICESSERVICE%,SQL Server Reporting Services,Analytic,20026
Equal,RTERM ,R Studio,Analytic,20027
Equal,RUNAGENT,BMC(?),System,20028
Equal,RUNDLL32,Windows App,Analytic,20029
Equal,SEGUIDE ,SAS,Analytic,20030
Equal,SQLDBX,SQLDB Explorer,Analytic,20031
Equal,SRCLIB_DLL_X64-32 ,Alteryx,Analytic,20032
Equal,TDXODBC ,TD Linux ODBC,Analytic,20033
Like,TITAN2_%,unknown,Analytic,20034
Equal,TRNSFRMR,Cognos,Analytic,20035
Equal,Unavailable ,unknown,Analytic,20036
Equal,UVSH,DataStage,ETL,20037
Equal,WRITE_UGAP_ ,Apache Airflow,Analytic,20038
Like,JOBRUNNER%,D3,ETL,144101
Like,%PL%,Perl,Application,1000001
Like,OSH%,IBM Data Stage,ETL,1000002