TableKind,CommitOpt,Object_Name,Object_Group12,Object_Group09,Object_Group06,Object_Group04
M,all,Macro,Macro,Macro,User Procedural,User Procedural
L,all,User-defined table operator,User Defined,User Defined,User Procedural,User Procedural
U,all,User-defined type,User Defined,User Defined,User Procedural,User Procedural
Z,all,User installed file,User Defined,User Defined,User Procedural,User Procedural
E,all,External stored procedure,Stored Procedure,Stored Procedure,User Procedural,User Procedural
P,all,Stored procedure,Stored Procedure,Stored Procedure,User Procedural,User Procedural
G,all,Trigger,Trigger,Stored Procedure,User Procedural,User Procedural
C,all,Table operator parser contract function,Table Operator,Function,Function,Other
R,all,Table function,Table Operator,Function,Function,Other
2,all,Function Alias Object,Function,Function,Function,Other
A,all,Aggregate Function,Function,Function,Function,Other
B,all,Combined aggregate and ordered analytical function,Function,Function,Function,Other
D,all,JAR,Function,Function,Function,Other
F,all,Standard Function,Function,Function,Function,Other
S,all,Ordered Analytic Function,Function,Function,Function,Other
I,all,Join Index,Index,Index,Index,Other
N,all,Hash Index,Index,Index,Index,Other
K,all,Foreign Server Object,Foreign Server,Foreign Server,Other,Other
J,all,Journal,Journal,Other,Other,Other
1,all,DataSet Schema Object,Other,Other,Other,Other
H,all,Instance or constructor method,Other,Other,Other,Other
X,all,Authorization,Other,Other,Other,Other
Y,all,GLOP set,Other,Other,Other,Other
Q,all,Queue Table,Table,Table,Table,Table
T,N,Table,Table,Table,Table,Table
T,D,Global Temporary Table,Table,Table,Table,Table
T,P,Global Temporary Table,Table,Table,Table,Table
O,all,Table with no primary index and no partitioning,Table,Table,Table,Table
V,all,View,View,View,View,View